HGNC ID	Approved symbol	Status
HGNC:24025	ACTR6	Approved
HGNC:44210	ACTR6P1	Approved
HGNC:14672	ACTR8	Approved
HGNC:17372	ACTR10	Approved
HGNC:24027	ACTRT1	Approved
HGNC:24026	ACTRT2	Approved
HGNC:24022	ACTRT3	Approved
HGNC:171	ACVR1	Approved
HGNC:172	ACVR1B	Approved
HGNC:18123	ACVR1C	Approved
HGNC:173	ACVR2A	Approved
HGNC:174	ACVR2B	Approved
HGNC:44161	ACVR2B-AS1	Approved
HGNC:175	ACVRL1	Approved
HGNC:176	ACVRLK2	Symbol Withdrawn
HGNC:177	ACY1	Approved
HGNC:178	ACY1L	Symbol Withdrawn
HGNC:24104	ACY3	Approved
HGNC:179	ACYP1	Approved
HGNC:180	ACYP2	Approved
HGNC:181	AD1	Symbol Withdrawn
HGNC:182	AD2	Symbol Withdrawn
HGNC:183	AD3	Symbol Withdrawn
HGNC:184	AD4	Symbol Withdrawn
HGNC:185	AD5	Entry Withdrawn
HGNC:186	ADA	Approved
HGNC:1839	ADA2	Approved
HGNC:30713	ADAD1	Approved
HGNC:44550	ADAD1P1	Approved
HGNC:44552	ADAD1P2	Approved
HGNC:30714	ADAD2	Approved
HGNC:31853	ADAL	Approved
HGNC:187	ADAM1A	Approved
HGNC:44366	ADAM1B	Approved
HGNC:198	ADAM2	Approved
HGNC:209	ADAM3A	Approved
HGNC:210	ADAM3B	Approved
HGNC:212	ADAM5	Approved
HGNC:213	ADAM6	Approved
HGNC:214	ADAM7	Approved
HGNC:215	ADAM8	Approved
HGNC:216	ADAM9	Approved
HGNC:188	ADAM10	Approved
HGNC:189	ADAM11	Approved
HGNC:190	ADAM12	Approved
HGNC:43841	ADAM12-OT1	Entry Withdrawn
HGNC:193	ADAM15	Approved
HGNC:195	ADAM17	Approved
HGNC:196	ADAM18	Approved
HGNC:197	ADAM19	Approved
HGNC:199	ADAM20	Approved
HGNC:20102	ADAM20P1	Approved
HGNC:43901	ADAM20P2	Approved
HGNC:43902	ADAM20P3	Approved
HGNC:200	ADAM21	Approved
HGNC:19822	ADAM21P1	Approved
HGNC:201	ADAM22	Approved
HGNC:202	ADAM23	Approved
HGNC:203	ADAM24P	Approved
HGNC:206	ADAM28	Approved
HGNC:207	ADAM29	Approved
HGNC:208	ADAM30	Approved
HGNC:15479	ADAM32	Approved
HGNC:15478	ADAM33	Approved
HGNC:16299	ADAMDEC1	Approved
HGNC:217	ADAMTS1	Approved
HGNC:218	ADAMTS2	Approved
HGNC:219	ADAMTS3	Approved
HGNC:220	ADAMTS4	Approved
HGNC:221	ADAMTS5	Approved
HGNC:222	ADAMTS6	Approved
HGNC:223	ADAMTS7	Approved
HGNC:49407	ADAMTS7P1	Approved
HGNC:49408	ADAMTS7P2	Symbol Withdrawn
HGNC:49409	ADAMTS7P3	Approved
HGNC:49410	ADAMTS7P4	Approved
HGNC:224	ADAMTS8	Approved
HGNC:13202	ADAMTS9	Approved
HGNC:40625	ADAMTS9-AS1	Approved
HGNC:42435	ADAMTS9-AS2	Approved
HGNC:13201	ADAMTS10	Approved
HGNC:14605	ADAMTS12	Approved
HGNC:1366	ADAMTS13	Approved
HGNC:14899	ADAMTS14	Approved
HGNC:16305	ADAMTS15	Approved
HGNC:17108	ADAMTS16	Approved
HGNC:17109	ADAMTS17	Approved
HGNC:17110	ADAMTS18	Approved
HGNC:17111	ADAMTS19	Approved
HGNC:40797	ADAMTS19-AS1	Approved
HGNC:17178	ADAMTS20	Approved
HGNC:16662	ADAMTS21	Symbol Withdrawn
HGNC:14632	ADAMTSL1	Approved
HGNC:14631	ADAMTSL2	Approved
HGNC:14633	ADAMTSL3	Approved
HGNC:19706	ADAMTSL4	Approved
HGNC:32041	ADAMTSL4-AS1	Approved
HGNC:40895	ADAMTSL4-AS2	Approved
HGNC:27912	ADAMTSL5	Approved
HGNC:16486	ADAP1	Approved
HGNC:16487	ADAP2	Approved
HGNC:225	ADAR	Approved
HGNC:226	ADARB1	Approved
HGNC:227	ADARB2	Approved
HGNC:23299	ADARB2-AS1	Approved
HGNC:228	ADAT1	Approved
HGNC:21172	ADAT2	Approved
HGNC:25151	ADAT3	Approved
HGNC:19038	ADCK1	Approved
HGNC:19039	ADCK2	Approved
HGNC:21738	ADCK5	Approved
HGNC:229	ADCP1	Approved
HGNC:230	ADCP2	Symbol Withdrawn
HGNC:231	ADCR	Symbol Withdrawn
HGNC:232	ADCY1	Approved
HGNC:233	ADCY2	Approved
HGNC:234	ADCY3	Approved
HGNC:235	ADCY4	Approved
HGNC:236	ADCY5	Approved
HGNC:237	ADCY6	Approved
HGNC:53332	ADCY6-DT	Approved
HGNC:238	ADCY7	Approved
HGNC:239	ADCY8	Approved
HGNC:240	ADCY9	Approved
HGNC:21285	ADCY10	Approved
HGNC:44143	ADCY10P1	Approved
HGNC:241	ADCYAP1	Approved
HGNC:242	ADCYAP1R1	Approved
HGNC:243	ADD1	Approved
HGNC:244	ADD2	Approved
HGNC:245	ADD3	Approved
HGNC:48682	ADD3-AS1	Approved
HGNC:246	ADDL	Symbol Withdrawn
HGNC:247	ADFN	Entry Withdrawn
HGNC:21212	ADGB	Approved
HGNC:13838	ADGRA1	Approved
HGNC:49543	ADGRA1-AS1	Approved
HGNC:17849	ADGRA2	Approved
HGNC:13839	ADGRA3	Approved
HGNC:943	ADGRB1	Approved
HGNC:944	ADGRB2	Approved
HGNC:945	ADGRB3	Approved
HGNC:19893	ADGRD1	Approved
HGNC:53314	ADGRD1-AS1	Approved
HGNC:18651	ADGRD2	Approved
HGNC:3336	ADGRE1	Approved
HGNC:3337	ADGRE2	Approved
HGNC:23647	ADGRE3	Approved
HGNC:19240	ADGRE4P	Approved
HGNC:1711	ADGRE5	Approved
HGNC:18990	ADGRF1	Approved
HGNC:18991	ADGRF2	Approved
HGNC:18989	ADGRF3	Approved
HGNC:19011	ADGRF4	Approved
HGNC:19030	ADGRF5	Approved
HGNC:40864	ADGRF5-AS1	Approved
HGNC:32922	ADGRF5P1	Approved
HGNC:32921	ADGRF5P2	Approved
HGNC:4512	ADGRG1	Approved
HGNC:4516	ADGRG2	Approved
HGNC:13728	ADGRG3	Approved
HGNC:18992	ADGRG4	Approved
HGNC:19010	ADGRG5	Approved
HGNC:13841	ADGRG6	Approved
HGNC:19241	ADGRG7	Approved
HGNC:20973	ADGRL1	Approved
HGNC:18582	ADGRL2	Approved
HGNC:20974	ADGRL3	Approved
HGNC:50604	ADGRL3-AS1	Approved
HGNC:20822	ADGRL4	Approved
HGNC:17416	ADGRV1	Approved
HGNC:249	ADH1A	Approved
HGNC:250	ADH1B	Approved
HGNC:251	ADH1C	Approved
HGNC:252	ADH4	Approved
HGNC:253	ADH5	Approved
HGNC:254	ADH5P1	Entry Withdrawn
HGNC:22976	ADH5P2	Approved
HGNC:22991	ADH5P3	Approved
HGNC:21377	ADH5P4	Approved
HGNC:54523	ADH5P5	Approved
HGNC:255	ADH6	Approved
HGNC:256	ADH7	Approved
HGNC:16354	ADHFE1	Approved
HGNC:30576	ADI1	Approved
HGNC:52339	ADI1P1	Approved
HGNC:52340	ADI1P2	Approved
HGNC:52341	ADI1P3	Approved
HGNC:28606	ADIG	Approved
HGNC:13633	ADIPOQ	Approved
HGNC:40648	ADIPOQ-AS1	Approved
HGNC:24040	ADIPOR1	Approved
HGNC:44910	ADIPOR1P1	Approved
HGNC:44911	ADIPOR1P2	Approved
HGNC:24041	ADIPOR2	Approved
HGNC:16477	ADIR	Symbol Withdrawn
HGNC:24043	ADIRF	Approved
HGNC:45127	ADIRF-AS1	Approved
HGNC:257	ADK	Approved
HGNC:258	ADL	Symbol Withdrawn
HGNC:259	ADM	Approved
HGNC:28898	ADM2	Approved
HGNC:27293	ADM5	Approved
HGNC:260	ADMLX	Symbol Withdrawn
HGNC:261	ADMLY	Symbol Withdrawn
HGNC:15766	ADNP	Approved
HGNC:51227	ADNP-AS1	Approved
HGNC:23803	ADNP2	Approved
HGNC:23506	ADO	Approved
HGNC:262	ADORA1	Approved
HGNC:263	ADORA2A	Approved
HGNC:37122	ADORA2A-AS1	Approved
HGNC:264	ADORA2B	Approved
HGNC:265	ADORA2BP1	Approved
HGNC:266	ADORA2L1	Entry Withdrawn
HGNC:267	ADORA2L2	Entry Withdrawn
HGNC:268	ADORA3	Approved
HGNC:25250	ADPGK	Approved
HGNC:44144	ADPGK-AS1	Approved
HGNC:269	ADPRH	Approved
HGNC:21303	ADPRHL1	Approved
HGNC:21304	ADPRHL2	Approved
HGNC:30925	ADPRM	Approved
HGNC:277	ADRA1A	Approved
HGNC:278	ADRA1B	Approved
HGNC:279	ADRA1C	Symbol Withdrawn
HGNC:280	ADRA1D	Approved
HGNC:281	ADRA2A	Approved
HGNC:282	ADRA2B	Approved
HGNC:283	ADRA2C	Approved
HGNC:284	ADRA2L1	Symbol Withdrawn
HGNC:285	ADRB1	Approved
HGNC:286	ADRB2	Approved
HGNC:287	ADRB2RL1	Symbol Withdrawn
HGNC:288	ADRB3	Approved
HGNC:15759	ADRM1	Approved
HGNC:291	ADSL	Approved
HGNC:20093	ADSS1	Approved
HGNC:292	ADSS2	Approved
HGNC:293	ADT	Entry Withdrawn
HGNC:294	ADTAA	Symbol Withdrawn
HGNC:295	ADTAB	Symbol Withdrawn
HGNC:296	ADTB1	Symbol Withdrawn
HGNC:299	ADTB2	Symbol Withdrawn
HGNC:300	ADTG	Symbol Withdrawn
HGNC:21214	ADTRP	Approved
HGNC:301	AE1	Symbol Withdrawn
HGNC:302	AE2	Symbol Withdrawn
HGNC:303	AEBP1	Approved
HGNC:24051	AEBP2	Approved
HGNC:305	AEMK	Symbol Withdrawn
HGNC:25722	AEN	Approved
HGNC:306	AEPLC	Symbol Withdrawn
HGNC:308	AEZ	Symbol Withdrawn
HGNC:309	AF8T	Entry Withdrawn
HGNC:310	AFA	Entry Withdrawn
HGNC:24017	AFAP1	Approved
HGNC:28141	AFAP1-AS1	Approved
HGNC:26714	AFAP1L1	Approved
HGNC:25901	AFAP1L2	Approved
HGNC:311	AFCP	Symbol Withdrawn
HGNC:312	AFD1	Entry Withdrawn
HGNC:7137	AFDN	Approved
HGNC:21236	AFDN-DT	Approved
HGNC:7135	AFF1	Approved
HGNC:53447	AFF1-AS1	Approved
HGNC:3776	AFF2	Approved
HGNC:41334	AFF2-IT1	Approved
HGNC:6473	AFF3	Approved
HGNC:17869	AFF4	Approved
HGNC:16411	AFG1L	Approved
HGNC:313	AFG3	Symbol Withdrawn
HGNC:314	AFG3L1P	Approved
HGNC:315	AFG3L2	Approved
HGNC:24169	AFG3L2P1	Approved
HGNC:316	AFM	Approved
HGNC:20910	AFMID	Approved
HGNC:317	AFP	Approved
HGNC:25951	AFTPH	Approved
HGNC:318	AGA	Approved
HGNC:16922	AGAP1	Approved
HGNC:41427	AGAP1-IT1	Approved
HGNC:16921	AGAP2	Approved
HGNC:48633	AGAP2-AS1	Approved
HGNC:16923	AGAP3	Approved
HGNC:23459	AGAP4	Approved
HGNC:23467	AGAP5	Approved
HGNC:23466	AGAP6	Approved
HGNC:23465	AGAP7P	Approved
HGNC:23464	AGAP8	Symbol Withdrawn
HGNC:23463	AGAP9	Approved
HGNC:23462	AGAP10	Symbol Withdrawn
HGNC:23659	AGAP10P	Approved
HGNC:29421	AGAP11	Approved
HGNC:23661	AGAP12P	Approved
HGNC:23499	AGAP13P	Approved
HGNC:23660	AGAP14P	Approved
HGNC:26504	AGBL1	Approved
HGNC:48617	AGBL1-AS1	Approved
HGNC:26296	AGBL2	Approved
HGNC:27981	AGBL3	Approved
HGNC:25892	AGBL4	Approved
HGNC:41123	AGBL4-AS1	Approved
HGNC:41482	AGBL4-IT1	Approved
HGNC:26147	AGBL5	Approved
HGNC:41133	AGBL5-AS1	Approved
HGNC:41484	AGBL5-IT1	Approved
HGNC:320	AGER	Approved
HGNC:5175	AGFG1	Approved
HGNC:5177	AGFG2	Approved
HGNC:24684	AGGF1	Approved
HGNC:38051	AGGF1P1	Approved
HGNC:38052	AGGF1P2	Approved
HGNC:38053	AGGF1P3	Approved
HGNC:38054	AGGF1P4	Approved
HGNC:51741	AGGF1P5	Approved
HGNC:51744	AGGF1P6	Approved
HGNC:51740	AGGF1P7	Approved
HGNC:51745	AGGF1P8	Approved
HGNC:51746	AGGF1P9	Approved
HGNC:51747	AGGF1P10	Approved
HGNC:21869	AGK	Approved
HGNC:37661	AGKP1	Approved
HGNC:321	AGL	Approved
HGNC:18407	AGMAT	Approved
HGNC:33784	AGMO	Approved
HGNC:322	AGMX1	Symbol Withdrawn
HGNC:323	AGMX2	Entry Withdrawn
HGNC:3262	AGO1	Approved
HGNC:3263	AGO2	Approved
HGNC:18421	AGO3	Approved
HGNC:18424	AGO4	Approved
HGNC:324	AGPAT1	Approved
HGNC:325	AGPAT2	Approved
HGNC:326	AGPAT3	Approved
HGNC:20885	AGPAT4	Approved
HGNC:20988	AGPAT4-IT1	Approved
HGNC:20886	AGPAT5	Approved
HGNC:37709	AGPAT5P1	Approved
HGNC:327	AGPS	Approved
HGNC:328	AGR2	Approved
HGNC:24167	AGR3	Approved
HGNC:329	AGRN	Approved
HGNC:330	AGRP	Approved
HGNC:331	AGS	Symbol Withdrawn
HGNC:332	AGS1	Symbol Withdrawn
HGNC:31917	AGS2	Symbol Withdrawn
HGNC:333	AGT	Approved
HGNC:334	AGTBP	Symbol Withdrawn
HGNC:335	AGTIL	Symbol Withdrawn
HGNC:17258	AGTPBP1	Approved
HGNC:336	AGTR1	Approved
HGNC:337	AGTR1B	Symbol Withdrawn
HGNC:338	AGTR2	Approved
HGNC:13539	AGTRAP	Approved
